id,nome,numero,amostra,coleta,entrada,tipo1_ativo,tipo1_id,ph,tipo2_ativo,tipo2_id,Temperatura,tipo3_ativo,tipo3_id,Turbidez,tipo4_ativo,tipo4_id,Cor,tipo5_ativo,tipo5_id,Temperatura Ar,tipo6_ativo,tipo6_id,Nitrato,tipo7_ativo,tipo7_id,Nitrito,tipo8_ativo,tipo8_id,Nitrogênio Amoniacal Total,tipo9_ativo,tipo9_id,OD,tipo10_ativo,tipo10_id,DBO,concluido,processo_id,tipo_padrao,ponto,conclusao,tipo11_ativo,tipo11_id,Cloreto,tipo12_ativo,tipo12_id,Clorofila a,tipo13_ativo,tipo13_id,Fósforo Total,tipo14_ativo,tipo14_id,Salinidade,tipo15_ativo,tipo15_id,Condutividade elétrica,tipo16_ativo,tipo16_id,Sólidos suspensos totais,tipo17_ativo,tipo17_id,Sólidos totais dissolvidos,tipo18_ativo,tipo18_id,Sólidos totais,tipo19_ativo,tipo19_id,Coliformes Termotolerantes,tipo20_ativo,tipo20_id,Alcalinidade total,itens,data_conclusao,dentro,tipo21_ativo,tipo21_id,Alcalinidade em Hidrogênio,tipo22_ativo,tipo22_id,Alcalinidade em Carbonato,tipo23_ativo,tipo23_id,Alcalinidade em Bicarbonato,tipo24_ativo,tipo24_id,tipo24_resultado,tipo25_ativo,tipo25_id,Sulfato,legenda_padrao,emitido,impresso,x,y,processo_id2,fisicoquimica,codigo_instituicao,codigo_hidro,latitude,longitude,tipo26_ativo,tipo26_id,tipo26_resultado,tipo27_ativo,tipo27_id,tipo27_resultado,tipo28_ativo,tipo28_id,tipo28_resultado,tipo29_ativo,tipo29_id,tipo29_resultado,tipo30_ativo,tipo30_id,tipo30_resultado,hora_coleta,hora_entra_laboratorio,demanda,parametro_tipologia_id
5620,Águas Salobras Classe 1,36/2014,Água da captação para carcinicultura,2014-01-29 00:00:00,2014-01-29 00:00:00,True,167,7.7,True,108,28,True,227,52,True,201,16,True,194,14.6,True,118,70.6,True,177,87,True,47,1.4,False,0,,True,202,8.6,True,192343,para Classe 2 pela Resolução CONAMA 357/05,Captação,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Cor, Turbidez, Fósforo Total, Nitrogênio Amoniacal Total, Nitrato e OD</b> em desacordo com os padrões estabelecidos  para Classe 1 pela Resolução CONAMA 357/05",True,170,1.6,True,171,0.06,True,206,441,True,116,4.7,True,175,11.5,False,0,,True,122,500,True,176,25217.6,False,0,,False,0,,20,2014-02-06 14:05:32.318946,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salobras classe 1.<br><b>(NMP)</b> – Número mais provável.      <b>ND</b> - Não Determinado.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
5693,Lançamento no Solo - Fontes Poluidoras,126/2014,Efluente Sanitário Tratado.,2014-02-25 00:00:00,2014-02-25 00:00:00,True,360,7600,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,True,27,&#8805;16000,False,0,,False,0,,True,208315,pela Portaria SEMACE 154/02 Art.4°,Saída do Biodigestor.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b> Condutividade Elétrica e Coliformes Fecais</b> em desacordo com os padrões estabelecidos pela Portaria SEMACE 154/02 Art.6°.",False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,10,2014-03-24 15:52:06.8562,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões SEMACE para reutilização de efluentes de origem doméstica em atividades agronômicas (irrigação e drenagem, dessedentação de animais e aquicultura)",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
5699,Águas Salinas Classe 1,146/2014,Efluente de Carcinicultura.,2014-03-06 00:00:00,2014-03-06 00:00:00,True,167,7.5,True,108,32.3,True,169,651,True,201,64.6,True,134,39.3,True,118,58.6,True,177,84,True,203,0.23,False,0,,True,202,8.7,True,204799,para Classe 2 pela Resolução CONAMA 357/05,Bacia de Sedimentação.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b> Turbidez, Fósforo Total, Nitrog&#7869;nio Amoniacal Total e Nitrato </b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05.",False,0,,False,0,,True,170,2.2,True,171,< LD,True,206,125,True,174,10.9,True,175,13.1,True,176,2249002.6,False,0,,False,0,,25,2014-03-14 09:28:19.269468,0.0,False,0,,False,0,,True,122,Zero,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salinas classe 1.<br><b>(NMP)</b> – Número mais provável.  <b> (< LD) </b> - Menor que o limite de detecção.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
5774,Águas Salobras Classe 1,59/2014,Água de Açude.,2014-01-10 00:00:00,2014-01-10 00:00:00,True,167,10.1,True,108,33,True,227,406,True,201,51,True,194,0.6,True,212,1060,True,177,104,True,47,1.3,False,0,,True,202,0.6,True,",",para Classe 2 pela Resolução CONAMA 357/05,Ponto 04: Parede do açude Luis Carlos - margem esquerda.Pacajus/CE,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>pH, Cor, Turbidez, Fósforo Total, Nitrogênio Amoniacal Total e Nitrato</b> em desacordo com os padrões estabelecidos  pela Resolução CONAMA 357/05.",True,170,1,True,171,< LD,True,206,5,True,116,15.7,True,175,37,False,0,,True,122,Zero,True,176,284,False,0,,False,0,,20,2014-04-04 16:22:59.691602,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salobras classe 1.<br><b>(NMP)</b> – Número mais provável.      <b>ND</b> - Não Determinado. <b>LD</b> - Limite de Detecção",True,True,558396.0,9539582.0,,True,,,,,,,,,,,,,,,,,,,,,,,
5843,Águas Salobras Classe 1,201/2014,Água Rio Maranguapinho.,2014-03-18 00:00:00,2014-03-18 00:00:00,True,167,7,True,108,27,True,227,101,True,201,8,True,194,1,True,118,1.02,True,177,14,True,47,8.1,True,265,0.1,True,202,6.4,True,",",para Classe 2 pela Resolução CONAMA 357/05,Bacia Metropolitana - Av. Vital Brasil ( Margem Esquerda - Bairro: Granja). Fortaleza/CE.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Cor, Turbidez, Fósforo Total, Nitrogênio Amoniacal Total, Nitrato, Nitrito, OD, Coliformes Termotolerantes e Substância Solúveis em Hexano</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05.",True,170,9,True,171,4.2,True,206,60,True,116,1,True,175,16,True,154,88,True,122,,True,176,232,True,157,22,True,102,1100,25,2014-04-08 13:00:01.662346,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salobras classe 1.<br><b>(NMP)</b> – Número mais provável.      <b>ND</b> - Não Determinado.",True,True,544865.0,9582434.0,,True,,,,,,,,,,,,,,,,,,,,,,,
5876,Águas Salobras Classe 1,,Água.,2014-04-08 00:00:00,2014-04-08 00:00:00,True,167,8.2,True,108,31,True,227,165,True,201,17,True,194,0.7,True,94,1339,True,177,ND,True,47,0.01,False,0,,True,202,0.3,False,,para Classe 2 pela Resolução CONAMA 357/05,Canal de Abastecimento.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Cor, Turbidez e Nitrato</b> em desacordo com os padrões estabelecidos pela Resolução CONAMA 357/05",True,170,0.5,True,171,0.01,True,206,29,True,116,9,True,175,13,False,0,,True,122,80,True,176,317,False,0,,False,0,,20,2014-04-16 11:13:24.164223,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas salobras classe 1.<br><b>(NMP)</b> – Número mais provável.      <b>(ND)</b> - Não Determinado.",False,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
5936,Lançamento no Solo - Fontes Poluidoras,309/2014,Efluente Industrial Tratado.,2014-05-08 00:00:00,2014-05-08 00:00:00,True,16,7.2,True,17,33,True,18,Zero,True,21,Ausente,True,23,486.4,True,25,534,True,126,0.7,True,27,,True,24,18,True,290,10,True,148089,pela Portaria SEMACE 154/02 Art.4°,Saída Final da ETE.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros  <b>Sólidos em Suspensão, DQO e Coliformes Fecais </b> em desacordo com os padrões estabelecidos  pela Portaria SEMACE 154/02 Art.4°.",True,147,21,True,252,0.6,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,False,0,,15,2014-05-12 16:48:49.34943,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,Padrões SEMACE para lançamento em Recursos Hídricos e Solo.,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
5951,Água doce Classe 2 – Ambiente Lótico,301/2014,Água do rio Jaguaribe.,2014-05-07 00:00:00,2014-05-08 00:00:00,True,105,7.7,True,106,1.4,True,107,29,True,108,26,True,109,0.1,True,110,0.04,True,111,0.2,True,112,1,True,116,8.3,True,117,1.7,True,",",para Classe 2 pela Resolução CONAMA 357/05,"Bacia do Médio Jaguaribe - Sob a ponte da CE-269, à jusante da barragem do Castanhão. Nova Jaguaribara/CE.","Dentre as análises efetuadas, a amostra apresentou o parâmetro <b>Fósforo Total</b> em desacordo com o padrão estabelecido pela Resolução CONAMA 357/05.",True,94,296,True,119,37,True,120,2,True,156,0.4,True,122,20,True,308,0.2,True,102,191,False,0,,False,0,,False,0,,20,2014-05-16 09:40:35.210549,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas doces Classe 2.   <br><b>(NMP)</b> – Número mais provável",True,True,562788.0,9395023.0,,True,,,,,,,,,,,,,,,,,,,,,,,
5954,Água doce Classe 2 – Ambiente Lêntico,299/2014,Água da Lagoa do Batoque.,2014-05-07 00:00:00,2014-05-07 00:00:00,True,105,7.3,True,108,28.9,True,107,429,True,106,2.1,True,109,1.7,True,110,< LD,True,153,1.3,True,112,LD,True,116,2.7,True,117,14,True,120936,para Classe 2 pela Resolução CONAMA 357/05,Ponto 04: Barraca da Odete.Aquiraz/CE.,"Dentre as análises efetuadas, a amostra apresentou os parâmetros <b>Cor, OD, DBO e Fósforo Total </b> em desacordo com os padrões estabelecidos  pela Resolução CONAMA 357/05.",True,94,492,True,308,0.2,True,119,87,True,120,3,True,158,0.75,False,0,,True,102,235,True,122,40,False,0,,False,0,,25,2014-05-16 15:50:08.948376,0.0,False,0,,False,0,,False,0,,False,0,,False,0,,"Padrões estabelecidos pela Resolução CONAMA Nº. 357/05, para águas doces Classe 2, ambiente lêntico.<br><b>(NMP)</b> – Número mais provável.      <b>(ND)</b> - Não Determinado.",True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
6036,Potabilidade,401/2014,Água adicionada de sais.,2014-05-29 00:00:00,2014-05-30 00:00:00,True,71,6,True,72,< LD,True,75,0.15,True,108,29,True,76,8,True,78,Ausência,True,79,Ausência,True,80,8,True,82,22,True,83,4,True,190977,pela Portaria 2914/11 do Ministério da Saúde.,Saída do equipamento de envase.,"Dentre as análises efetuadas, a amostra apresentou-se de acordo com os padrões estabelecidos pela Portaria 2914/11 do Ministério da Saúde.",True,84,3,True,86,7,True,87,5,True,90,1.5,True,91,0.004,True,92,0.4,True,93,Zero,True,94,43,True,95,0.01,True,99,3,25,2014-06-02 14:48:07.399838,1.0,True,103,21,True,263,Zero,False,0,,False,0,,False,0,,Padrão de potabilidade estabelecido pela Portaria 2914/11 do Ministério da Saúde <br>  <br><b>(NMP)</b> – Número mais provável <b>(LD)</b> - Limite de Detecção,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
