DATA,TEMP_AR,RADIACAO
,27.7,1561.0
2018-08-21,29.9,1995.8
2011-03-09,23.3,0.1
,29.6,1411.1
2011-01-12,30.3,2014.9
,29.5,1865.6
,24.8,206.6
,30.2,1444.6
2015-12-28,25.8,0.9
2009-08-17,26.7,2013.1
2013-08-21,27.9,750.3
2010-09-08,27.7,757.8
,31.0,2652.0
2014-06-04,28.9,1610.7
,31.3,2420.4
,30.3,2092.3
,29.7,2312.6
2012-09-20,28.1,1379.5
2011-11-15,27.0,25.9
,31.2,1984.6
2009-06-09,27.9,1048.1
2012-01-28,27.1,203.3
,27.1,28.4
2017-04-15,31.3,2593.6
2017-05-11,29.8,1334.3
2013-07-25,29.3,1335.8
2017-01-16,28.8,1029.3
,24.4,0.7
2014-02-24,29.0,1039.3
,25.7,517.0
2017-09-06,27.4,796.1
,23.9,1.7
2018-12-18,27.0,988.1
2018-06-09,26.7,132.5
2014-01-27,31.6,2874.2
2005-03-03,31.4,44281.0
,31.1,2661.0
2004-03-17,24.6,687.0
2018-08-06,28.9,2013.8
2014-05-28,29.1,1234.2
,29.7,1814.2
,30.8,2876.5
,24.4,79.3
,24.1,2.8
2014-04-18,25.7,729.8
,25.6,258.7
2017-03-06,24.2,0.1
2016-05-01,31.1,2215.1
2010-09-11,31.3,3199.1
2017-04-13,24.2,4.3
,31.5,2421.7
,27.7,881.7
,27.6,131.5
2009-05-03,26.0,506.5
2009-02-15,25.5,251.8
2010-12-22,30.8,1950.1
2016-11-02,31.1,1991.7
,24.0,160.9
,31.6,2617.6
2014-09-20,27.5,637.7
,27.2,548.1
2004-09-14,24.2,371.0
2011-04-22,27.1,838.2
2015-09-30,30.3,2543.7
2012-01-10,29.5,1381.5
2015-01-19,27.0,315.5
,29.0,174.5
,29.2,1421.7
,23.9,1.1
2012-05-06,31.0,2260.2
,27.7,242.8
2005-03-06,29.7,11387.0
2014-01-19,30.0,1712.0
2009-06-22,27.7,430.6
,24.7,107.2
2018-01-23,28.1,654.0
,28.7,471.5
,26.8,284.7
2011-05-28,30.3,1794.4
,30.8,2558.8
2017-12-30,28.0,209.2
,31.3,2444.6
,29.5,2275.3
2018-08-19,28.6,1871.6
2011-11-23,30.3,1858.5
2018-08-19,26.1,877.1
2018-07-18,26.9,255.4
2014-05-18,27.6,28.5
2014-10-26,27.6,727.5
2009-03-31,28.9,1048.8
2014-06-24,30.2,2349.9
,29.4,429.7
2012-06-26,28.3,1989.3
,29.1,1258.3
2009-08-01,29.6,2996.3
,30.7,1871.7
2013-02-15,27.5,941.8
,27.1,157.2
2014-05-23,30.2,1459.0
2009-10-23,30.0,2727.1
2014-01-04,26.6,900.5
2011-03-09,28.1,1681.5
2004-02-12,30.9,28053.0
,29.6,1897.5
,24.6,0.5
2017-03-19,27.5,137.4
,30.3,1144.6
2012-04-11,28.5,1495.5
,29.1,1572.3
,28.9,2170.4
,28.0,1561.1
,27.5,201.1
,22.5,119.7
2015-12-01,27.1,59.8
,29.7,1420.5
2016-07-17,23.5,0.7
,30.7,1518.7
,28.2,690.8
2010-12-08,28.5,645.0
2009-09-06,29.4,3000.3
,29.3,1292.2
2010-09-25,31.1,2797.3
2014-07-11,26.6,28.0
2015-02-21,23.2,66.4
,27.6,902.4
2012-03-13,27.6,1329.0
,31.7,2388.3
2003-03-01,31.0,40238.0
2016-07-02,28.8,710.1
,28.8,636.3
,28.7,1949.8
2012-04-22,24.5,457.4
2005-03-07,31.0,31544.0
2013-03-11,30.8,1133.2
2012-03-15,26.2,692.5
2013-01-08,27.9,153.9
2018-07-10,23.6,16.2
,26.0,511.7
,29.2,1576.0
,24.7,153.7
,31.0,1808.4
2013-11-03,25.6,43.4
2017-03-30,25.6,3.9
2016-08-09,30.7,2387.7
,31.7,1987.3
2011-06-08,27.0,23.7
2012-08-31,26.3,73.1
2016-12-01,29.7,1388.3
2018-06-21,29.4,2152.1
,26.8,1283.5
2017-12-23,27.3,281.8
2011-04-06,24.9,0.6
,27.3,1335.1
,30.7,2253.7
2014-04-03,23.7,12.0
2013-06-14,23.1,0.4
,30.9,2046.3
,26.5,41.2
2017-10-26,32.0,2059.4
2012-02-05,30.8,2281.0
,31.3,2149.8
,29.6,1946.2
2005-03-07,31.6,40800.0
2011-11-16,30.0,2618.3
,25.4,14.7
2013-01-31,28.2,872.8
2016-04-01,24.7,45.6
2018-02-20,28.6,1120.0
2016-03-10,31.5,2601.9
2017-04-15,25.6,2.6
2012-09-17,29.2,1771.8
,31.2,2640.3
2011-06-22,26.3,888.2
2012-09-18,27.3,740.1
,25.5,290.7
2005-02-15,23.6,3031.0
2017-12-28,30.4,1550.3
2014-07-08,28.3,1294.2
2004-04-25,24.9,2248.0
2009-05-26,26.5,1091.8
,29.5,1249.0
2017-02-12,27.7,1143.5
,32.7,2047.4
2018-11-29,30.2,1309.2
,29.5,1895.2
2013-05-23,25.1,209.5
2011-10-06,29.8,1305.5
2017-02-13,25.5,584.6
,23.7,106.6
,23.2,4.2
,30.0,1993.4
2018-04-14,27.3,1075.0
2017-02-22,30.8,3023.2
2018-07-28,29.3,1848.7
,30.3,1475.5
,30.9,2733.9
2011-09-19,29.3,2053.4
2011-10-27,31.5,3132.5
2003-03-18,27.2,4629.0
2017-07-22,28.4,1942.9
